corpus,bytes,arm,threads,rep,instr,cyc,real
silesia,211968000,gzippy,4,9,4008259274,1520038459,0.13
silesia,211968000,rapidgzip,4,9,6782064650,2410693138,0.22
silesia,211968000,gzippy,8,9,4040857513,1551552958,0.08
silesia,211968000,rapidgzip,8,9,6829705886,2455319717,0.16
monorepo,50915328,gzippy,1,9,350136154,145359304,0.04
monorepo,50915328,rapidgzip,1,9,1164711615,471925118,0.15
monorepo,50915328,gzippy,2,9,956085476,362629183,0.06
monorepo,50915328,rapidgzip,2,9,1630642100,587234331,0.11
monorepo,50915328,gzippy,4,9,1095155303,410424600,0.04
monorepo,50915328,rapidgzip,4,9,1772691677,629130913,0.08
monorepo,50915328,gzippy,8,9,1236660023,468133849,0.02
monorepo,50915328,rapidgzip,8,9,1873460921,666742401,0.05
nasa,205242368,gzippy,1,9,701281206,348005899,0.10
nasa,205242368,rapidgzip,1,9,2863312657,1001831471,0.31
nasa,205242368,gzippy,2,9,2544167072,940565331,0.17
nasa,205242368,rapidgzip,2,9,4704352361,1440519089,0.27
nasa,205242368,gzippy,4,9,2764898819,1028160868,0.10
nasa,205242368,rapidgzip,4,9,4958994880,1494445389,0.17
nasa,205242368,gzippy,8,9,2884809383,1084266013,0.07
nasa,205242368,rapidgzip,8,9,5151866576,1549949856,0.10
squishy,400391411,gzippy,1,9,3820941830,1767260770,0.55
squishy,400391411,rapidgzip,1,9,10673204813,3716856075,1.17
squishy,400391411,gzippy,2,9,6707164825,2660032803,0.46
squishy,400391411,rapidgzip,2,9,12484148540,4147310115,0.69
squishy,400391411,gzippy,4,9,6866782406,2767240054,0.24
squishy,400391411,rapidgzip,4,9,12516741388,4174695506,0.38
squishy,400391411,gzippy,8,9,6942871423,2872840659,0.14
squishy,400391411,rapidgzip,8,9,12600456738,4246847270,0.23
silesia,211968000,gzippy,1,10,2100844897,872515207,0.27
silesia,211968000,rapidgzip,1,10,5715514938,2109965949,0.66
silesia,211968000,gzippy,2,10,3957202081,1477300062,0.25
silesia,211968000,rapidgzip,2,10,6764402394,2384700487,0.40
silesia,211968000,gzippy,4,10,4006898081,1517406439,0.13
silesia,211968000,rapidgzip,4,10,6782530373,2400182286,0.22
silesia,211968000,gzippy,8,10,4032443069,1570848618,0.09
silesia,211968000,rapidgzip,8,10,6820676754,2425857076,0.15
monorepo,50915328,gzippy,1,10,348251813,144362287,0.04
monorepo,50915328,rapidgzip,1,10,1162375756,468672109,0.14
monorepo,50915328,gzippy,2,10,961168854,367662801,0.06
monorepo,50915328,rapidgzip,2,10,1632433037,595084728,0.12
monorepo,50915328,gzippy,4,10,1099428414,414161481,0.04
monorepo,50915328,rapidgzip,4,10,1776088257,631064792,0.07
monorepo,50915328,gzippy,8,10,1248219513,483529906,0.03
monorepo,50915328,rapidgzip,8,10,1878032465,668818935,0.05
nasa,205242368,gzippy,1,10,702478038,351974386,0.11
nasa,205242368,rapidgzip,1,10,2867587529,1008520491,0.31
nasa,205242368,gzippy,2,10,2551235393,947457460,0.17
nasa,205242368,rapidgzip,2,10,4700748454,1439500393,0.27
nasa,205242368,gzippy,4,10,2760951045,1026500841,0.10
nasa,205242368,rapidgzip,4,10,4954599402,1491893306,0.17
nasa,205242368,gzippy,8,10,2937715648,1127053860,0.06
nasa,205242368,rapidgzip,8,10,5141751528,1544769825,0.10
squishy,400391411,gzippy,1,10,3821076542,1766907261,0.55
squishy,400391411,rapidgzip,1,10,10673713908,3704063038,1.15
squishy,400391411,gzippy,2,10,6705169953,2664446239,0.46
squishy,400391411,rapidgzip,2,10,12486598748,4148766646,0.69
squishy,400391411,gzippy,4,10,6863746382,2768319307,0.24
squishy,400391411,rapidgzip,4,10,12502376763,4178445982,0.38
squishy,400391411,gzippy,8,10,6925921102,2866853460,0.14
squishy,400391411,rapidgzip,8,10,12595094798,4294886112,0.24
silesia,211968000,gzippy,1,11,2099939146,878444998,0.27
silesia,211968000,rapidgzip,1,11,5709999878,2096925254,0.65
silesia,211968000,gzippy,2,11,3947796561,1468990069,0.25
silesia,211968000,rapidgzip,2,11,6769692722,2391662859,0.40
silesia,211968000,gzippy,4,11,4016640729,1516925431,0.13
silesia,211968000,rapidgzip,4,11,6788361746,2420775730,0.23
silesia,211968000,gzippy,8,11,4048767715,1561167322,0.08
silesia,211968000,rapidgzip,8,11,6826053621,2437605747,0.15
monorepo,50915328,gzippy,1,11,349451428,145924763,0.04
monorepo,50915328,rapidgzip,1,11,1164265941,466631096,0.14
monorepo,50915328,gzippy,2,11,957795792,360251843,0.06
monorepo,50915328,rapidgzip,2,11,1631066419,585049689,0.11
monorepo,50915328,gzippy,4,11,1099439282,412958284,0.04
monorepo,50915328,rapidgzip,4,11,1772014756,627173574,0.07
monorepo,50915328,gzippy,8,11,1233853112,469567121,0.02
monorepo,50915328,rapidgzip,8,11,1873518684,667383771,0.05
nasa,205242368,gzippy,1,11,703390778,347817289,0.10
nasa,205242368,rapidgzip,1,11,2865915716,1007951752,0.31
nasa,205242368,gzippy,2,11,2545299045,952295992,0.17
nasa,205242368,rapidgzip,2,11,4699378910,1435461346,0.27
nasa,205242368,gzippy,4,11,2786673250,1042357914,0.10
nasa,205242368,rapidgzip,4,11,4953137702,1493325207,0.17
nasa,205242368,gzippy,8,11,2901443509,1090183769,0.06
nasa,205242368,rapidgzip,8,11,5147876853,1544138161,0.10
squishy,400391411,gzippy,1,11,3816686477,1774529936,0.55
squishy,400391411,rapidgzip,1,11,10668233320,3698083538,1.16
squishy,400391411,gzippy,2,11,6702219065,2648341551,0.46
squishy,400391411,rapidgzip,2,11,12486638326,4146187698,0.69
squishy,400391411,gzippy,4,11,6879579203,2763488450,0.24
squishy,400391411,rapidgzip,4,11,12530794851,4185455681,0.38
squishy,400391411,gzippy,8,11,6936809482,2867835077,0.14
squishy,400391411,rapidgzip,8,11,12605387208,4257932733,0.23
