corpus,bytes,arm,threads,rep,wall_s
monorepo,50915328,gz2,8,5,0.030116
monorepo,50915328,rg,8,5,0.061508
monorepo,50915328,ld,8,5,0.038764
monorepo,50915328,gz,8,6,0.029783
monorepo,50915328,gz2,8,6,0.030358
monorepo,50915328,rg,8,6,0.060865
monorepo,50915328,ld,8,6,0.048231
monorepo,50915328,gz,8,7,0.031767
monorepo,50915328,gz2,8,7,0.030522
monorepo,50915328,rg,8,7,0.060104
monorepo,50915328,ld,8,7,0.039094
monorepo,50915328,gz,8,8,0.030315
monorepo,50915328,gz2,8,8,0.030257
monorepo,50915328,rg,8,8,0.063782
monorepo,50915328,ld,8,8,0.038604
monorepo,50915328,gz,8,9,0.031340
monorepo,50915328,gz2,8,9,0.030428
monorepo,50915328,rg,8,9,0.058439
monorepo,50915328,ld,8,9,0.039139
monorepo,50915328,gz,8,10,0.030455
monorepo,50915328,gz2,8,10,0.030844
monorepo,50915328,rg,8,10,0.059489
monorepo,50915328,ld,8,10,0.039480
monorepo,50915328,gz,8,11,0.029579
monorepo,50915328,gz2,8,11,0.031431
monorepo,50915328,rg,8,11,0.061506
monorepo,50915328,ld,8,11,0.038523
monorepo,50915328,gz,8,12,0.030813
monorepo,50915328,gz2,8,12,0.031141
monorepo,50915328,rg,8,12,0.062118
monorepo,50915328,ld,8,12,0.038360
monorepo,50915328,gz,8,13,0.029615
monorepo,50915328,gz2,8,13,0.030907
monorepo,50915328,rg,8,13,0.062201
monorepo,50915328,ld,8,13,0.038197
nasa,205242368,gz,1,1,0.115951
nasa,205242368,gz2,1,1,0.113660
nasa,205242368,rg,1,1,0.329329
nasa,205242368,ld,1,1,0.091897
nasa,205242368,gz,1,2,0.115528
nasa,205242368,gz2,1,2,0.118552
nasa,205242368,rg,1,2,0.328221
nasa,205242368,ld,1,2,0.090692
nasa,205242368,gz,1,3,0.113093
nasa,205242368,gz2,1,3,0.111599
nasa,205242368,rg,1,3,0.322762
nasa,205242368,ld,1,3,0.090138
nasa,205242368,gz,1,4,0.112962
nasa,205242368,gz2,1,4,0.112187
nasa,205242368,rg,1,4,0.325193
nasa,205242368,ld,1,4,0.092397
nasa,205242368,gz,1,5,0.111730
nasa,205242368,gz2,1,5,0.112850
nasa,205242368,rg,1,5,0.323255
nasa,205242368,ld,1,5,0.092930
nasa,205242368,gz,1,6,0.112753
nasa,205242368,gz2,1,6,0.111474
nasa,205242368,rg,1,6,0.324414
nasa,205242368,ld,1,6,0.095652
nasa,205242368,gz,1,7,0.112114
nasa,205242368,gz2,1,7,0.113206
nasa,205242368,rg,1,7,0.325777
nasa,205242368,ld,1,7,0.094781
nasa,205242368,gz,1,8,0.112917
nasa,205242368,gz2,1,8,0.112334
nasa,205242368,rg,1,8,0.322330
nasa,205242368,ld,1,8,0.091955
nasa,205242368,gz,1,9,0.113327
nasa,205242368,gz2,1,9,0.113170
nasa,205242368,rg,1,9,0.327537
nasa,205242368,ld,1,9,0.092311
nasa,205242368,gz,1,10,0.113415
nasa,205242368,gz2,1,10,0.115405
nasa,205242368,rg,1,10,0.327674
nasa,205242368,ld,1,10,0.097388
nasa,205242368,gz,1,11,0.112261
nasa,205242368,gz2,1,11,0.110579
nasa,205242368,rg,1,11,0.316316
nasa,205242368,ld,1,11,0.091008
nasa,205242368,gz,1,12,0.113268
nasa,205242368,gz2,1,12,0.115010
nasa,205242368,rg,1,12,0.328230
nasa,205242368,ld,1,12,0.091723
nasa,205242368,gz,1,13,0.112616
nasa,205242368,gz2,1,13,0.112691
nasa,205242368,rg,1,13,0.324458
nasa,205242368,ld,1,13,0.093109
nasa,205242368,gz,2,1,0.176807
nasa,205242368,gz2,2,1,0.179094
nasa,205242368,rg,2,1,0.277186
nasa,205242368,ld,2,1,0.091883
nasa,205242368,gz,2,2,0.199682
nasa,205242368,gz2,2,2,0.182367
nasa,205242368,rg,2,2,0.281642
nasa,205242368,ld,2,2,0.090573
nasa,205242368,gz,2,3,0.185580
nasa,205242368,gz2,2,3,0.183403
nasa,205242368,rg,2,3,0.279704
nasa,205242368,ld,2,3,0.092271
nasa,205242368,gz,2,4,0.186938
nasa,205242368,gz2,2,4,0.180482
nasa,205242368,rg,2,4,0.279323
nasa,205242368,ld,2,4,0.091599
nasa,205242368,gz,2,5,0.176701
nasa,205242368,gz2,2,5,0.174965
nasa,205242368,rg,2,5,0.278075
nasa,205242368,ld,2,5,0.092704
nasa,205242368,gz,2,6,0.176136
nasa,205242368,gz2,2,6,0.178641
nasa,205242368,rg,2,6,0.280232
nasa,205242368,ld,2,6,0.090885
nasa,205242368,gz,2,7,0.177906
nasa,205242368,gz2,2,7,0.177492
nasa,205242368,rg,2,7,0.276093
nasa,205242368,ld,2,7,0.089897
nasa,205242368,gz,2,8,0.176501
nasa,205242368,gz2,2,8,0.177259
nasa,205242368,rg,2,8,0.277726
nasa,205242368,ld,2,8,0.092427
nasa,205242368,gz,2,9,0.174872
nasa,205242368,gz2,2,9,0.176933
nasa,205242368,rg,2,9,0.282647
nasa,205242368,ld,2,9,0.092208
nasa,205242368,gz,2,10,0.175295
nasa,205242368,gz2,2,10,0.179760
nasa,205242368,rg,2,10,0.279048
nasa,205242368,ld,2,10,0.092011
nasa,205242368,gz,2,11,0.184323
nasa,205242368,gz2,2,11,0.183111
nasa,205242368,rg,2,11,0.281176
nasa,205242368,ld,2,11,0.094254
nasa,205242368,gz,2,12,0.178811
nasa,205242368,gz2,2,12,0.177165
nasa,205242368,rg,2,12,0.273159
nasa,205242368,ld,2,12,0.090750
nasa,205242368,gz,2,13,0.177189
nasa,205242368,gz2,2,13,0.176981
nasa,205242368,rg,2,13,0.279034
nasa,205242368,ld,2,13,0.092017
nasa,205242368,gz,4,1,0.105687
nasa,205242368,gz2,4,1,0.105750
nasa,205242368,rg,4,1,0.169722
nasa,205242368,ld,4,1,0.090338
nasa,205242368,gz,4,2,0.104890
nasa,205242368,gz2,4,2,0.112897
nasa,205242368,rg,4,2,0.161178
nasa,205242368,ld,4,2,0.091977
nasa,205242368,gz,4,3,0.105593
nasa,205242368,gz2,4,3,0.113612
nasa,205242368,rg,4,3,0.181941
