# tri-falsifier  BIN=/dev/shm/tri-target/release/gzippy  N=15  2026-06-23T16:12:49Z
# bin-sha: f6094595848f9bd2c887c3dfaef3fde0335077644a81355f0977c0f725974cc5
cell,corpus,threads,pert,level,kind,rep,wall_s,sha,hits
T2,monorepo.gz,2,MARKER,100,spin,11,0.382000,-,-
T2,monorepo.gz,2,MARKER,100,sleep,11,0.293756,-,-
T2,monorepo.gz,2,RSS,20,mmap,11,0.282459,-,-
T2,monorepo.gz,2,RSS,40,mmap,11,0.301338,-,-
T2,monorepo.gz,2,RSS,60,mmap,11,0.312011,-,-
T2,monorepo.gz,2,BASE,0,base,12,0.264520,-,-
T2,monorepo.gz,2,MARKER,50,spin,12,0.318094,-,-
T2,monorepo.gz,2,MARKER,100,spin,12,0.385437,-,-
T2,monorepo.gz,2,MARKER,100,sleep,12,0.290839,-,-
T2,monorepo.gz,2,RSS,20,mmap,12,0.280262,-,-
T2,monorepo.gz,2,RSS,40,mmap,12,0.299536,-,-
T2,monorepo.gz,2,RSS,60,mmap,12,0.314859,-,-
T2,monorepo.gz,2,BASE,0,base,13,0.267191,-,-
T2,monorepo.gz,2,MARKER,50,spin,13,0.318221,-,-
T2,monorepo.gz,2,MARKER,100,spin,13,0.380991,-,-
T2,monorepo.gz,2,MARKER,100,sleep,13,0.289714,-,-
T2,monorepo.gz,2,RSS,20,mmap,13,0.279452,-,-
T2,monorepo.gz,2,RSS,40,mmap,13,0.294636,-,-
T2,monorepo.gz,2,RSS,60,mmap,13,0.310842,-,-
T2,monorepo.gz,2,BASE,0,base,14,0.266388,-,-
T2,monorepo.gz,2,MARKER,50,spin,14,0.318875,-,-
T2,monorepo.gz,2,MARKER,100,spin,14,0.381496,-,-
T2,monorepo.gz,2,MARKER,100,sleep,14,0.289656,-,-
T2,monorepo.gz,2,RSS,20,mmap,14,0.280901,-,-
T2,monorepo.gz,2,RSS,40,mmap,14,0.297718,-,-
T2,monorepo.gz,2,RSS,60,mmap,14,0.311961,-,-
T2,monorepo.gz,2,BASE,0,base,15,0.267189,-,-
T2,monorepo.gz,2,MARKER,50,spin,15,0.319921,-,-
T2,monorepo.gz,2,MARKER,100,spin,15,0.385149,-,-
T2,monorepo.gz,2,MARKER,100,sleep,15,0.291855,-,-
T2,monorepo.gz,2,RSS,20,mmap,15,0.281727,-,-
T2,monorepo.gz,2,RSS,40,mmap,15,0.297578,-,-
T2,monorepo.gz,2,RSS,60,mmap,15,0.311403,-,-
T4,silesia.gz,4,PEAKRSS,gz,kib,1,215284,-,-
T4,silesia.gz,4,PEAKRSS,rg,kib,1,166012,-,-
T4,silesia.gz,4,PEAKRSS,gz,kib,2,221912,-,-
T4,silesia.gz,4,PEAKRSS,rg,kib,2,179988,-,-
T4,silesia.gz,4,PEAKRSS,gz,kib,3,202876,-,-
T4,silesia.gz,4,PEAKRSS,rg,kib,3,191968,-,-
T2,monorepo.gz,2,PEAKRSS,gz,kib,1,99212,-,-
T2,monorepo.gz,2,PEAKRSS,rg,kib,1,70120,-,-
T2,monorepo.gz,2,PEAKRSS,gz,kib,2,99420,-,-
T2,monorepo.gz,2,PEAKRSS,rg,kib,2,70308,-,-
T2,monorepo.gz,2,PEAKRSS,gz,kib,3,99432,-,-
T2,monorepo.gz,2,PEAKRSS,rg,kib,3,70200,-,-
