squishy,mono,8,2117599226,5894815356,5180,1.554194,400391411
squishy,mono,9,2112753596,5894594239,5181,1.549889,400391411
squishy,mono,10,2110276135,5894101484,5175,1.546278,400391411
squishy,mono,11,2112456538,5894598515,5180,1.548375,400391411
squishy,mono,12,2113300166,5894693548,5183,1.549031,400391411
squishy,mono,13,2110650458,5894649162,5181,1.546743,400391411
squishy,mono,14,2111357120,5894361430,5180,1.547870,400391411
squishy,mono,15,2127813885,5894374232,5179,1.559912,400391411
squishy,mono,16,2119416204,5895517336,5179,1.551918,400391411
squishy,thin,1,2130533637,5913542971,6057,1.563161,400391411
squishy,thin,2,2127018660,5913503073,6058,1.559068,400391411
squishy,thin,3,2117841286,5913858091,6060,1.555246,400391411
squishy,thin,4,2119936998,5913700765,6058,1.554397,400391411
squishy,thin,5,2124406825,5914220220,6059,1.557928,400391411
squishy,thin,6,2131460288,5914145626,6060,1.564696,400391411
squishy,thin,7,2126601535,5913941231,6058,1.561693,400391411
squishy,thin,8,2125630195,5913701652,6060,1.559553,400391411
squishy,thin,9,2134323213,5913543885,6060,1.565071,400391411
squishy,thin,10,2126543876,5914074168,6056,1.560929,400391411
squishy,thin,11,2120690734,5913912260,6059,1.556972,400391411
squishy,thin,12,2121212433,5913430573,6059,1.555678,400391411
squishy,thin,13,2130528030,5913978501,6059,1.562704,400391411
squishy,thin,14,2121946319,5913404979,6060,1.555209,400391411
squishy,thin,15,2130780033,5913776710,6060,1.562958,400391411
squishy,thin,16,2135075103,5913678250,6058,1.565736,400391411
squishy,igzip,1,1830589348,5380662085,608,1.345227,400391411
squishy,igzip,2,1832460727,5380293392,611,1.345653,400391411
squishy,igzip,3,1831312499,5379792017,608,1.345899,400391411
squishy,igzip,4,1828150467,5380849519,612,1.342999,400391411
squishy,igzip,5,1834632562,5381713134,611,1.347321,400391411
squishy,igzip,6,1827858938,5381461254,610,1.342029,400391411
squishy,igzip,7,1840286874,5381573337,612,1.352983,400391411
squishy,igzip,8,1820533518,5381011956,612,1.337626,400391411
